,d3mIndex,RegionName,ZoneName,WoredaName,Year,Epidemic_Week,Month,Total Malaria Confirmed and Clinical,TMalaria_OutP_Cases,TMalaria_InP_Cases,TMalaria_InP_Deaths,TMSuspected Fever Examined,PosMalaria_RDT_or_Microscopy_PF_OutP_Cases,PosMalaria_RDT_or_Microscopy_PV_OutP_Cases,Meningits total Cases,Meningitis_OutP_Cases,Meningitis_InP_Cases,Meningitis_InP_Deaths,Dysentery_total Cases,Dysentery_OutP_Cases,Dysentery_InP_Cases,Dysentery_InP_Deaths,Typhoid fever Total cases,Typhoid fever_OutP_Cases,Typhoid fever_InP_Cases,Typhoid fever_InP_Deaths,Relapsing fever_total Cases,Relapsing fever_OutP_Cases,Relapsing fever_InP_Cases,Relapsing fever_InP_Deaths,Epidemic Typhus Total Cases,Epidemic Typhus_OutP_Cases,Epidemic Typhus_InP_Cases,Epidemic Typhus_InP_Deaths,Malnutrition_total Cases,Malnutrition_OutP_Cases,Malnutrition_InP_Cases,Malnutrition_InP_Deaths,Scabies_OutP_Cases,Scabies_InP_Cases,Scabies_InP_Deaths,AFP/Polio_Cases,AFP/Polio_Deaths,Anthrax_Cases,Anthrax_Deaths,Avian_Human_Influenza_Cases,Avian_Human_Influenza_Deaths,Cholera/AWD_Cases,Cholera/AWD_Deaths,Dracunculiasis/Guinea worm_Cases,Dracunculiasis/Guinea worm_Deaths,Measles_Cases,Measles_Deaths,Neonatal Tetanus_Cases,Neonatal Tetanus_Deaths,Pandemic Influenza_Cases,Pandemic Influenza_Deaths,Rabies_Cases,Rabies_Deaths,SARS_Cases,SARS_Deaths,Small pox_Cases,Small pox_Deaths,Viral hemorrhagic fever_Cases,Viral hemorrhagic fever_Deaths,Yellow fever_Cases,Yellow fever_Deaths,Maternal_Death,Other 1_sc,Other 1_Cases,Other 1_Deaths,Other 2_Name,Other 2_Cases,Other 2_Deaths,Other 3_Name,Other 3_Cases,Other 3_Deaths,No-of-Gov_HPs-expected-by-RHB,No-of-Gov_HCs-expected-by-RHB,No-of-Gov_Hosps-expected-by-RHB,No-of-NGOHF-expected-by-RHB,No-of-OtherHFs-expected-by-RHB,No-of-Gov_HPs-Reported,No-of-Gov_HCs-Reported,No-of-Gov_Hosps-Reported,No-of-NGOHFs-Reported,No-of-OthersHF-Reported,All-Total-sites-Reported,All-Total-sites-Expected-by-RHB,Total-Gov-sites-Reported,Date_Sent,Date_Received,Date_WeekExpected,Timeliness,EthiopianMonth,EthMonNum,EthYear
39977,39977,SNNPR,Gurage,Butajira Town,2017,42,October,0,0.0,0.0,0.0,53.0,0.0,0.0,0,0.0,0.0,0.0,9,9.0,0.0,0.0,90,90.0,0.0,0.0,0,0.0,0.0,0.0,7,7.0,0.0,0.0,5,5.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,26/10/17,26/10/17,10/27/17,T,Teqemt,2,2010
112579,112579,Amhara,South Gonder,Dera,2019,3,January,15,15.0,0.0,0.0,172.0,8.0,7.0,0,0.0,0.0,0.0,12,12.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,3.0,0.0,0.0,16.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,36.0,11.0,0.0,0.0,2.0,36.0,11.0,0.0,0.0,2.0,49,49,47,24/01/19,24/01/19,1/25/19,T,Tir,5,2011
58742,58742,Tigray,South East,Hintalo Wajirat,2018,7,February,3,3.0,0.0,0.0,124.0,2.0,1.0,0,0.0,0.0,0.0,11,11.0,0.0,0.0,4,4.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,18.0,7.0,0.0,0.0,0.0,18.0,7.0,0.0,0.0,0.0,25,25,25,22/02/18,22/02/18,2/23/18,T,Yekatit,6,2010
118981,118981,Tigray,Eastern Tigray,Ganta Afeshum,2019,8,February,1,1.0,0.0,0.0,111.0,1.0,0.0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,4.0,0.0,0.0,7.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,15.0,6.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,21,21,21,1/3/19,1/3/19,3/1/19,T,Yekatit,6,2011
83099,83099,Oromia,Jimma,Kersa,2018,29,July,1,1.0,0.0,0.0,170.0,1.0,0.0,0,0.0,0.0,0.0,12,12.0,0.0,0.0,14,14.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,30.0,7.0,0.0,0.0,0.0,30.0,7.0,0.0,0.0,0.0,37,37,37,26/07/18,26/07/18,7/27/18,T,Hamle,11,2010
118122,118122,Somali,Erar,Hamaro,2019,7,February,8,8.0,0.0,0.0,7.0,0.0,0.0,0,0.0,0.0,0.0,7,7.0,0.0,0.0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,8.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,10,10,10,23/02/19,23/02/19,2/22/19,L,Yekatit,6,2011
134708,134708,Somali,SHABEELE,Abakaorow,2019,22,May,19,19.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,17,17.0,0.0,0.0,12,12.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3,3,3,6/6/19,6/6/19,6/7/19,T,Ginbot,9,2011
131890,131890,Addis Ababa,Yeka,Yeka Woreda14,2019,20,May,3,3.0,0.0,0.0,0.0,1.0,2.0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,66,66.0,0.0,0.0,0,0.0,0.0,0.0,52,52.0,0.0,0.0,0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,6.0,8,8,2,23/05/19,23/05/19,5/24/19,T,Ginbot,9,2011
103893,103893,Oromia,Ilu Aba Bora,Doreni,2018,47,November,0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,3,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,14.0,2.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,13,16,13,29/11/18,29/11/18,11/30/18,T,Hedar,3,2011
12839,12839,Somali,Jarar,Daror,2017,14,April,18,18.0,0.0,0.0,6.0,0.0,6.0,0,0.0,0.0,0.0,3,3.0,0.0,0.0,3,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,6.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4,4,4,13/04/17,13/04/17,4/14/17,T,Miyazia,8,2009
53072,53072,Amhara,North Shewa,Antsokiya Gemza,2018,2,January,8,8.0,0.0,0.0,97.0,3.0,5.0,0,0.0,0.0,0.0,8,8.0,0.0,0.0,42,42.0,0.0,0.0,0,0.0,0.0,0.0,40,40.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,11.0,4.0,0.0,0.0,6.0,11.0,4.0,0.0,0.0,6.0,21,21,15,18/01/18,18/01/18,1/19/18,T,Tir,5,2010
73907,73907,Gambella,Agnuwak,Abobo,2018,21,May,71,71.0,0.0,0.0,318.0,64.0,7.0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,3,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,15.0,3.0,0.0,1.0,0.0,15.0,3.0,0.0,1.0,0.0,19,19,18,31/05/18,31/05/18,6/1/18,T,Ginbot,9,2010
60689,60689,Somali,FAAFAN,Gursum,2018,9,March,6,6.0,0.0,0.0,6.0,2.0,0.0,0,0.0,0.0,0.0,2,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,10.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,11,12,11,9/3/18,9/3/18,3/9/18,T,Megabit,7,2010
68294,68294,Oromia,East Hararge,Gursum,2018,16,April,0,0.0,0.0,0.0,11.0,0.0,0.0,0,0.0,0.0,0.0,14,14.0,0.0,0.0,2,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,26,26.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,42.0,7.0,0.0,0.0,3.0,27.0,5.0,0.0,0.0,0.0,32,52,32,26/04/18,26/04/18,4/27/18,T,Miyazia,8,2010
101116,101116,Amhara,North Shewa,Menz Gera Meder,2018,45,November,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,12.0,0.0,0.0,27,27.0,0.0,0.0,0,0.0,0.0,0.0,25,25.0,0.0,0.0,0,0.0,0.0,0.0,28.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,20.0,4.0,0.0,0.0,2.0,20.0,4.0,0.0,0.0,2.0,26,26,24,15/11/18,15/11/18,11/16/18,T,Hedar,3,2011
38460,38460,Afar,Zone 03,Amibara,2017,41,October,423,423.0,0.0,0.0,1000.0,390.0,33.0,0,0.0,0.0,0.0,3,3.0,0.0,0.0,117,117.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,8.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,20.0,4.0,,,,20.0,4.0,,,,24,24,24,19/10/17,19/10/17,10/20/17,T,Teqemt,2,2010
88393,88393,Addis Ababa,Gulele,Gulele Woreda06,2018,34,August,1,1.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,18,18.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,2,1,30/08/18,30/08/18,8/31/18,T,Nehase,12,2010
114920,114920,Amhara,Awi,Banja Shekudad,2019,5,January,22,22.0,0.0,0.0,90.0,11.0,11.0,0,0.0,0.0,0.0,2,2.0,0.0,0.0,15,15.0,0.0,0.0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,25.0,6.0,0.0,0.0,0.0,25.0,6.0,0.0,0.0,0.0,31,31,31,7/2/19,7/2/19,2/8/19,T,Tir,5,2011
116966,116966,Amhara,East Gojjam,Awabel,2019,6,February,4,4.0,0.0,0.0,43.0,2.0,2.0,0,0.0,0.0,0.0,45,45.0,0.0,0.0,50,50.0,0.0,0.0,0,0.0,0.0,0.0,42,42.0,0.0,0.0,0,0.0,0.0,0.0,4.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,28.0,6.0,1.0,0.0,2.0,28.0,6.0,1.0,0.0,2.0,37,37,35,14/02/19,14/02/19,2/15/19,T,Yekatit,6,2011
33180,33180,SNNPR,Siliti,Hulbareg,2017,35,August,3,3.0,0.0,0.0,120.0,0.0,3.0,0,0.0,0.0,0.0,4,4.0,0.0,0.0,50,50.0,0.0,0.0,0,0.0,0.0,0.0,27,27.0,0.0,0.0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,16.0,3.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,19,19,19,8/9/17,8/9/17,9/8/17,T,Nehase,12,2009
4720,4720,Benishangul-Gumuz,Metekel,Pawe,2017,6,February,176,175.0,1.0,0.0,580.0,155.0,18.0,0,0.0,0.0,0.0,24,24.0,0.0,0.0,59,59.0,0.0,0.0,0,0.0,0.0,0.0,18,18.0,0.0,0.0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,20.0,2.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,21,22,21,16/02/17,16/02/17,2/17/17,T,Yekatit,6,2009
13579,13579,SNNPR,Gurage,Mihur Aklil,2017,15,April,6,6.0,0.0,0.0,21.0,2.0,4.0,0,0.0,0.0,0.0,5,5.0,0.0,0.0,33,33.0,0.0,0.0,0,0.0,0.0,0.0,12,12.0,0.0,0.0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,29.0,5.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,34,34,34,20/04/17,20/04/17,4/21/17,T,Miyazia,8,2009
120362,120362,Afar,Zone 04,Teru,2019,10,March,13,13.0,0.0,0.0,69.0,13.0,0.0,0,0.0,0.0,0.0,3,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,5.0,3.0,,,,5.0,3.0,,,,8,8,8,15/03/19,15/03/19,3/15/19,T,Megabit,7,2011
10893,10893,SNNPR,Hawassa Town,Adara Hospital,2017,12,March,4,4.0,0.0,0.0,446.0,2.0,2.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,30/03/17,30/03/17,3/31/17,T,Megabit,7,2009
133344,133344,Oromia,Borena,Teltele,2019,21,May,39,39.0,0.0,0.0,158.0,35.0,4.0,0,0.0,0.0,0.0,9,9.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,19.0,4.0,0.0,0.0,0.0,19.0,4.0,,,,23,23,23,30/05/19,30/05/19,5/31/19,T,Ginbot,9,2011
28932,28932,Oromia,west Guji,Abaya,2017,31,August,186,186.0,0.0,0.0,553.0,135.0,51.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,8.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,23,22.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,26.0,6.0,0.0,0.0,0.0,26.0,6.0,0.0,0.0,0.0,32,32,32,10/8/17,10/8/17,8/11/17,T,Nehase,12,2009
25906,25906,Oromia,West Arsi,Bishan Guracha Town,2017,28,July,0,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,0.0,1.0,0.0,0.0,0.0,,,,,,0,1,0,20/07/17,20/07/17,7/21/17,T,Hamle,11,2009
9531,9531,Oromia,East Hararge,Babile Woreda,2017,11,March,1,1.0,0.0,0.0,49.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,6.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,21.0,3.0,0.0,0.0,2.0,14.0,2.0,0.0,0.0,0.0,16,26,16,23/03/17,23/03/17,3/24/17,T,Megabit,7,2009
48560,48560,SNNPR,Sidama,Arbegona,2017,50,December,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,10.0,0.0,0.0,15,15.0,0.0,0.0,0,0.0,0.0,0.0,7,7.0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,38.0,5.0,0.0,0.0,0.0,38.0,5.0,0.0,0.0,0.0,43,43,43,21/12/17,21/12/17,12/22/17,T,Tahesas,4,2010
33227,33227,Somali,Afder,Qoxle,2017,35,August,0,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,2.0,1.0,0.0,0.0,0.0,,,,,,0,3,0,8/9/17,8/9/17,9/8/17,T,Nehase,12,2009
59422,59422,Tigray,Central Tigray,Akisum Town,2018,8,February,3,3.0,0.0,0.0,177.0,3.0,0.0,0,0.0,0.0,0.0,4,4.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4,4,4,2/3/18,2/3/18,3/2/18,T,Yekatit,6,2010
45540,45540,Benishangul-Gumuz,Assosa,ARRA Tongo,2017,48,November,0,0.0,0.0,0.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,7/12/17,7/12/17,12/8/17,T,Hedar,3,2010
102419,102419,Amhara,South Gonder,Debretabor,2018,46,November,12,12.0,0.0,0.0,75.0,7.0,5.0,0,0.0,0.0,0.0,3,3.0,0.0,0.0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,2,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,6,6,3,22/11/18,22/11/18,11/23/18,T,Hedar,3,2011
120875,120875,Oromia,South West Shewa,Tulu Bolo Hospital,2019,10,March,0,0.0,0.0,0.0,50.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,0.0,1.0,0.0,0.0,,,1.0,,,1,1,1,14/03/19,14/03/19,3/15/19,T,Megabit,7,2011
12718,12718,SNNPR,Kembata Tembaro,Kedida Gamela,2017,14,April,51,51.0,0.0,0.0,424.0,47.0,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,92,92.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,19.0,4.0,0.0,0.0,0.0,19.0,4.0,0.0,0.0,0.0,23,23,23,13/04/17,13/04/17,4/14/17,T,Miyazia,8,2009
133107,133107,Amhara,North Gondar,Tselemet,2019,21,May,17,17.0,0.0,0.0,58.0,13.0,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,4.0,0.0,0.0,8.0,0.0,,0.0,0.0,3.0,0.0,,,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,22.0,5.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,20,27,20,30/05/19,30/05/19,5/31/19,T,Ginbot,9,2011
36625,36625,Oromia,East Hararge,Bedeno,2017,39,September,1,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,3,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,69,62.0,7.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,40.0,9.0,0.0,0.0,5.0,39.0,9.0,0.0,0.0,7.0,55,54,48,5/10/17,5/10/17,10/6/17,T,Meskerem,1,2010
